Ldm, 05:48:12,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:12,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:12,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:13,078 	 DEBUG 	 camInfo received 		
Ldm, 05:48:13,079 	 DEBUG 	 CAM received 		
Ldm, 05:48:13,079 	 INFO  	 METRIC_CAM_RECV 66 3519258 		
Ldm, 05:48:13,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:13,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:13,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:13,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:14,124 	 DEBUG 	 camInfo received 		
Ldm, 05:48:14,124 	 DEBUG 	 CAM received 		
Ldm, 05:48:14,124 	 INFO  	 METRIC_CAM_RECV 67 3520303 		
Ldm, 05:48:14,284 	 DEBUG 	 dccInfo received 		
