Ldm, 06:19:47,172 	 DEBUG 	 CAM received 		
Ldm, 06:19:47,172 	 INFO  	 METRIC_CAM_RECV 132 5413351 		
Ldm, 06:19:48,220 	 DEBUG 	 camInfo received 		
Ldm, 06:19:48,221 	 DEBUG 	 CAM received 		
Ldm, 06:19:48,221 	 INFO  	 METRIC_CAM_RECV 133 5414399 		
Ldm, 06:19:49,272 	 DEBUG 	 camInfo received 		
Ldm, 06:19:49,273 	 DEBUG 	 CAM received 		
Ldm, 06:19:49,273 	 INFO  	 METRIC_CAM_RECV 134 5415451 		
Ldm, 06:19:50,356 	 DEBUG 	 camInfo received 		
Ldm, 06:19:50,357 	 DEBUG 	 CAM received 		
Ldm, 06:19:50,357 	 INFO  	 METRIC_CAM_RECV 135 5416535 		
Ldm, 06:19:51,405 	 DEBUG 	 camInfo received 		
Ldm, 06:19:51,405 	 DEBUG 	 CAM received 		
Ldm, 06:19:51,405 	 INFO  	 METRIC_CAM_RECV 136 5417584 		
Ldm, 06:19:52,464 	 DEBUG 	 camInfo received 		
Ldm, 06:19:52,465 	 DEBUG 	 CAM received 		
